id;estado;fecha_inicio;ultima_actividad;expiracion;activa;usuario_id;evento_id
1;COMPLETADO;2025-12-03T02:55:25;2025-12-03T03:37:20;2025-12-03T16:37:45;false;1;1
2;SELECCION_ASIENTOS;2025-12-03T20:17:52;2025-12-03T10:12:10;2025-12-03T08:49:52;false;2;2
3;COMPLETADO;2025-12-03T08:45:40;2025-12-03T14:19:37;2025-12-03T14:40:41;false;1;3
4;COMPLETADO;2025-12-03T10:50:42;2025-12-03T12:45:06;2025-12-03T13:49:42;true;1;4
5;COMPLETADO;2025-12-03T15:38:55;2025-12-03T07:08:19;2025-12-03T12:07:41;false;1;5
6;COMPLETADO;2025-12-03T15:58:12;2025-12-03T04:11:41;2025-12-03T20:01:10;false;1;6
7;CARGA_DATOS;2025-12-03T17:39:10;2025-12-02T22:57:19;2025-12-02T21:32:47;true;1;7
8;SELECCION_ASIENTOS;2025-12-03T07:25:37;2025-12-03T19:24:30;2025-12-03T18:46:08;false;1;8
9;SELECCION_ASIENTOS;2025-12-02T21:54:22;2025-12-03T13:02:30;2025-12-03T10:33:52;true;2;9
10;CARGA_DATOS;2025-12-03T07:55:00;2025-12-03T13:25:34;2025-12-02T23:44:13;true;1;10
